apn,address,station,band,current_zone,current_max_height_ft,current_max_height_raw,sb79_floor_ft,lot_sf,year_built,historic_status,lat,lon
124-31-065,"415 Oxford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1924,none,37.427821,-122.147244
124-31-065,"422 College Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1924,none,37.427821,-122.147244
124-31-065,"421 Oxford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1924,none,37.427821,-122.147244
124-31-065,"419 Oxford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1924,none,37.427821,-122.147244
124-31-065,"417 Oxford Av, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1924,none,37.427821,-122.147244
124-31-066,"2110 Ash St, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1961,none,37.427935,-122.147149
124-31-066,"2120 Ash St, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1961,none,37.427935,-122.147149
124-31-066,"2130 Ash St, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1961,none,37.427935,-122.147149
124-31-066,"2140 Ash St, Palo Alto",calave,1/2mi,RM-30,,Cannot assess for this zone.,65,7500,1961,none,37.427935,-122.147149
124-31-067,"391 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1939,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.428188,-122.146941
124-31-068,"381 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,1924,none,37.428302,-122.146847
124-31-069,"373 Oxford Av, Palo Alto",calave,1/2mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",65,7500,2012,none,37.428417,-122.146752
124-31-070,"359 Oxford Av, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,7000,1922,none,37.428539,-122.146672
124-31-071,,calave,1/4mi,R-1,17,May be 17' due to substandard size or flag configuration.,75,500,,none,37.428426,-122.146456
124-31-072,"351 Oxford Av, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,7500,1924,none,37.428647,-122.146563
124-31-075,"323 Oxford Av, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,7500,1928,none,37.428991,-122.146279
124-31-076,"315 Oxford Av, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,5000,1982,none,37.429143,-122.146256
124-31-079,"360 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,11250,1962,none,37.428277,-122.146249
124-31-080,"376 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,11250,1962,none,37.428105,-122.146391
124-31-081,"2171 El Camino Real, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,20951,,Deemed eligible for the NRHP in 1998; Eligible for the CRHR due to eligibility for the NRHP,37.426768,-122.147506
124-31-082,"456 College Av, Palo Alto",calave,1/2mi,R-2,,Cannot assess for this zone.,65,10245,,none,37.426971,-122.14727
124-31-083,"343 Oxford Av, Palo Alto",calave,1/4mi,R-1,30,"30' if roof slope is less than 12:12, 
33' otherwise.",75,14500,1999,none,37.42882,-122.146429
124-31-084,,calave,1/4mi,RM-30,,Cannot assess for this zone.,75,500,,none,37.42877,-122.146172
124-32-001,"355 College Av, Palo Alto",calave,1/4mi,RM-30,,Cannot assess for this zone.,75,6626,1928,Deemed NOT eligible for the CRHR or the NRHP in 1998,37.428074,-122.145546
124-32-002,"2290 Birch St, Palo Alto",calave,1/4mi,CC (2)(R),,Cannot assess for this zone.,75,5000,1957,none,37.427898,-122.145211
